
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
   428 +1.0825e+01 +0.0000e+00 +0.0000e+00 
   429 +6.1123e+00 +0.0000e+00 +0.0000e+00 
   430 +9.6927e+00 +0.0000e+00 +0.0000e+00 
   431 +1.4031e+01 +0.0000e+00 +0.0000e+00 
   432 +1.0141e+01 +0.0000e+00 +0.0000e+00 
   433 +1.0030e+01 +0.0000e+00 +0.0000e+00 
   434 +1.0319e+01 +0.0000e+00 +0.0000e+00 
   435 +1.0104e+01 +0.0000e+00 +0.0000e+00 
   436 +9.9293e+00 +0.0000e+00 +0.0000e+00 
   437 +9.9864e+00 +0.0000e+00 +0.0000e+00 
   438 +1.0341e+01 +0.0000e+00 +0.0000e+00 
   439 +1.0377e+01 +0.0000e+00 +0.0000e+00 
   440 +9.1056e+00 +0.0000e+00 +0.0000e+00 
   441 +1.1772e+01 +0.0000e+00 +0.0000e+00 
   442 +9.9190e+00 +0.0000e+00 +0.0000e+00 
   443 +1.0130e+01 +0.0000e+00 +0.0000e+00 
   444 +1.1118e+01 +0.0000e+00 +0.0000e+00 
   445 +1.0080e+01 +0.0000e+00 +0.0000e+00 
   446 +1.1092e+01 +0.0000e+00 +0.0000e+00 
   447 +9.0829e+00 +0.0000e+00 +0.0000e+00 
   448 +9.7521e+00 +0.0000e+00 +0.0000e+00 
   449 +7.3777e+00 +0.0000e+00 +0.0000e+00 
   450 +1.0564e+01 +0.0000e+00 +0.0000e+00 
   451 +9.1473e+00 +0.0000e+00 +0.0000e+00 
   452 +8.8550e+00 +0.0000e+00 +0.0000e+00 
   453 +8.8850e+00 +0.0000e+00 +0.0000e+00 
   454 +9.0923e+00 +0.0000e+00 +0.0000e+00 
   455 +8.2823e+00 +0.0000e+00 +0.0000e+00 
   456 +8.3215e+00 +0.0000e+00 +0.0000e+00 
   457 +6.3959e+00 +0.0000e+00 +0.0000e+00 
   458 +6.2833e+00 +0.0000e+00 +0.0000e+00 
   459 +4.1425e+00 +0.0000e+00 +0.0000e+00 
   460 +4.0571e+00 +0.0000e+00 +0.0000e+00 
   461 +1.3701e+00 +0.0000e+00 +0.0000e+00 
   462 +1.2272e+00 +0.0000e+00 +0.0000e+00 
   463 +3.3942e-01 +0.0000e+00 +0.0000e+00 
   464 -1.4621e+00 +0.0000e+00 +0.0000e+00 
   465 -7.1069e-01 +0.0000e+00 +0.0000e+00 
   466 -3.3330e+00 +0.0000e+00 +0.0000e+00 
   467 -3.3868e+00 +0.0000e+00 +0.0000e+00 
   468 -5.1253e+00 +0.0000e+00 +0.0000e+00 
   469 -5.0862e+00 +0.0000e+00 +0.0000e+00 
   470 -7.2901e+00 +0.0000e+00 +0.0000e+00 
   471 -8.3728e+00 +0.0000e+00 +0.0000e+00 
   472 -1.0562e+01 +0.0000e+00 +0.0000e+00 
   473 -1.0660e+01 +0.0000e+00 +0.0000e+00 
   474 -1.3834e+01 +0.0000e+00 +0.0000e+00 
   475 -1.8141e+01 +0.0000e+00 +0.0000e+00 
   476 -2.5979e+01 +0.0000e+00 +0.0000e+00 
   477 -2.5303e+01 +0.0000e+00 +0.0000e+00 
   478 -3.3831e+01 +0.0000e+00 +0.0000e+00 
   479 -2.6292e+01 +0.0000e+00 +0.0000e+00 
   480 -2.8462e+01 +0.0000e+00 +0.0000e+00 
   509 -2.8856e+01 +0.0000e+00 +0.0000e+00 
   510 -3.6073e+01 +0.0000e+00 +0.0000e+00 
   511 -3.2257e+01 +0.0000e+00 +0.0000e+00 
   512 -2.5847e+01 +0.0000e+00 +0.0000e+00 
   513 -1.8040e+01 +0.0000e+00 +0.0000e+00 
   514 -1.7752e+01 +0.0000e+00 +0.0000e+00 
   515 -2.0554e+01 +0.0000e+00 +0.0000e+00 
   516 -1.6472e+01 +0.0000e+00 +0.0000e+00 
   517 -1.5182e+01 +0.0000e+00 +0.0000e+00 
   518 -1.4617e+01 +0.0000e+00 +0.0000e+00 
   519 -1.2752e+01 +0.0000e+00 +0.0000e+00 
   520 -1.2686e+01 +0.0000e+00 +0.0000e+00 
   521 -1.1954e+01 +0.0000e+00 +0.0000e+00 
   522 -1.1435e+01 +0.0000e+00 +0.0000e+00 
   523 -1.1049e+01 +0.0000e+00 +0.0000e+00 
   524 -1.0799e+01 +0.0000e+00 +0.0000e+00 
  1777 +3.6803e+01 +0.0000e+00 +0.0000e+00 
  1778 +3.1214e+01 +0.0000e+00 +0.0000e+00 
